"LFS_COUNTRY","Country","PROG","Programmes","MEAS","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.24,,
"AUS","Australia","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.23,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.16,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.16,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.14,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.14,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.15,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.15,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.14,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.14,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.11,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.08,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.08,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.09,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.08,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.09,,
"AUS","Australia","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.09,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.03,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.02,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.02,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.02,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.01,,
"AUS","Australia","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.01,,
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0,"n","Nil or less than 0.005"
"AUS","Australia","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0,"n","Nil or less than 0.005"
"AUS","Australia","23","Integrated training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0,"n","Nil or less than 0.005"
"AUS","Australia","24","Special support for apprenticeship","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0,"n","Nil or less than 0.005"
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.29,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.31,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.39,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.36,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.36,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.49,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.5,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.44,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.43,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.47,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.49,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.46,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.45,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.44,,
"AUT","Austria","20","Training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.43,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.04,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.05,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.06,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.06,,
"AUT","Austria","60","Direct job creation","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.05,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",1.96,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",2.06,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",2.03,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",1.84,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",1.76,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",2.23,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",2.17,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",1.97,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",1.96,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",2.15,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",2.18,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",2.21,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",2.25,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",2.19,,
"AUT","Austria","100","Total","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",2.07,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.58,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.6,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.68,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.65,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.65,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.81,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.81,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.73,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.72,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.76,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.79,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.74,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.76,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.78,,
"AUT","Austria","110","Active measures (10-70)","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.75,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.42,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.44,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.52,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.49,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.5,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.64,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.64,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.55,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.55,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.59,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.62,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.58,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.59,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.6,,
"AUT","Austria","112","Categories 20-70 only","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.58,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.24,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.27,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.32,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.28,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.27,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.42,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.43,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.37,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.37,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.41,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.43,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.4,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2016","2016",0.38,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2017","2017",0.37,,
"AUT","Austria","21","Institutional training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2018","2018",0.35,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2004","2004",0.03,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2005","2005",0.03,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2006","2006",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2007","2007",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2008","2008",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2009","2009",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2010","2010",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2011","2011",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2012","2012",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2013","2013",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2014","2014",0.02,,
"AUT","Austria","22","Workplace training","EXPPCT","Public expenditure as a percentage of GDP","A","Annual","2015","2015",0.01,,
