Country,Time,Exp_LMP
MEX,2004,0.01
MEX,2005,0.01
MEX,2006,0.01
MEX,2007,0.01
MEX,2008,0.01
MEX,2009,0.01
MEX,2010,0.01
MEX,2011,0.01
MEX,2012,0.01
MEX,2013,0.01
MEX,2014,0.01
MEX,2015,0.01
MEX,2016,0.01
MEX,2017,0.0
MEX,2018,0.0
NLD,2004,3.06
NLD,2005,2.9
NLD,2006,2.51
NLD,2007,2.12
NLD,2008,1.96
NLD,2009,2.46
NLD,2010,2.53
NLD,2011,2.36
NLD,2012,2.47
NLD,2013,2.74
NLD,2014,2.77
NLD,2015,2.55
NLD,2016,2.36
NLD,2017,2.14
NLD,2018,1.94
NZL,2004,0.92
NZL,2005,0.82
NZL,2006,0.72
NZL,2007,0.6
NZL,2008,0.68
NZL,2009,0.86
NZL,2010,0.92
NZL,2011,0.74
NZL,2012,0.71
NZL,2013,0.69
NZL,2014,0.63
NZL,2015,0.64
NZL,2016,0.63
NZL,2017,0.56
NZL,2018,0.57
NOR,2004,1.39
NOR,2005,1.22
NOR,2006,0.86
NOR,2007,0.75
NOR,2008,0.67
NOR,2009,0.99
NOR,2010,1.09
NOR,2011,0.96
NOR,2012,0.87
NOR,2013,0.83
NOR,2014,0.89
NOR,2015,0.98
NOR,2016,1.07
NOR,2017,0.97
NOR,2018,0.79
POL,2004,1.36
POL,2005,1.27
POL,2006,1.15
POL,2007,1.0
POL,2008,0.9
POL,2009,0.94
POL,2010,1.02
POL,2011,0.7
POL,2012,0.75
POL,2013,0.84
POL,2014,0.79
POL,2015,0.74
POL,2016,0.69
POL,2017,0.62
POL,2018,0.5
PRT,2004,1.82
PRT,2005,1.89
PRT,2006,1.72
PRT,2007,1.59
PRT,2008,1.61
PRT,2009,2.12
PRT,2010,2.11
PRT,2011,1.95
PRT,2012,2.19
PRT,2013,2.23
PRT,2014,2.13
PRT,2015,1.91
PRT,2016,1.67
PRT,2017,1.43
PRT,2018,1.3
SVK,2004,0.56
SVK,2005,0.59
SVK,2006,0.64
SVK,2007,0.57
SVK,2008,0.68
SVK,2009,0.91
SVK,2010,0.91
SVK,2011,0.77
SVK,2012,0.67
SVK,2013,0.62
SVK,2014,0.55
SVK,2015,0.53
SVK,2016,0.6
SVK,2017,0.56
SVK,2018,0.55
ESP,2004,2.24
ESP,2005,2.19
ESP,2006,2.19
ESP,2007,2.21
ESP,2008,2.64
ESP,2009,3.78
ESP,2010,3.99
ESP,2011,3.79
ESP,2012,3.81
ESP,2013,3.53
ESP,2014,3.11
ESP,2015,2.58
ESP,2016,2.3
ESP,2017,2.21
ESP,2018,2.16
SWE,2004,2.33
SWE,2005,2.3
SWE,2006,2.16
SWE,2007,1.66
SWE,2008,1.36
SWE,2009,1.75
SWE,2010,1.84
SWE,2011,1.73
SWE,2012,1.88
SWE,2013,2.0
SWE,2014,1.92
SWE,2015,1.79
SWE,2016,1.71
SWE,2017,1.65
SWE,2018,1.56
CHE,2004,1.65
CHE,2005,1.51
CHE,2006,1.27
CHE,2007,1.04
CHE,2008,0.94
CHE,2009,1.4
CHE,2010,1.34
CHE,2011,1.06
CHE,2012,1.1
CHE,2013,1.18
CHE,2014,1.17
CHE,2015,1.23
CHE,2016,1.31
CHE,2017,1.28
CHE,2018,1.17
GBR,2004,0.58
GBR,2005,0.55
GBR,2006,0.46
GBR,2007,0.43
GBR,2008,0.5
GBR,2009,0.7
GBR,2010,0.66
GBR,2011,0.53
USA,2004,0.39
USA,2005,0.36
USA,2006,0.36
USA,2007,0.42
USA,2008,1.01
USA,2009,1.22
USA,2010,0.88
USA,2011,0.69
USA,2012,0.52
USA,2013,0.35
USA,2014,0.28
USA,2015,0.28
USA,2016,0.26
USA,2017,0.24
USA,2018,0.25
ISR,2004,0.96
ISR,2005,0.98
ISR,2006,0.91
ISR,2007,0.79
ISR,2008,0.75
ISR,2009,0.91
ISR,2010,0.81
ISR,2011,0.75
ISR,2012,0.74
ISR,2013,0.74
ISR,2014,0.72
ISR,2015,0.68
ISR,2016,0.63
ISR,2017,0.61
ISR,2018,0.58
CHL,2008,0.26
CHL,2009,0.35
CHL,2010,0.3
CHL,2011,0.3
CHL,2012,0.33
CHL,2013,0.36
CHL,2014,0.42
CHL,2015,0.52
CHL,2016,0.56
CHL,2017,0.51
CHL,2018,0.48
SVN,2004,0.57
SVN,2005,0.69
SVN,2006,0.65
SVN,2007,0.49
SVN,2008,0.44
SVN,2009,0.98
SVN,2010,1.19
SVN,2011,1.25
SVN,2012,1.12
SVN,2013,1.19
SVN,2014,0.99
SVN,2015,0.76
SVN,2016,0.73
SVN,2017,0.68
SVN,2018,0.61
EST,2004,0.23
EST,2005,0.18
EST,2006,0.15
EST,2007,0.15
EST,2008,0.27
EST,2009,1.58
EST,2010,1.06
EST,2011,0.69
EST,2012,0.7
EST,2013,0.66
EST,2014,0.57
EST,2015,0.63
EST,2016,0.74
EST,2017,0.79
EST,2018,0.87
OTO,2004,1.41
OTO,2005,1.35
OTO,2006,1.24
OTO,2007,1.11
OTO,2008,1.1
OTO,2009,1.56
OTO,2010,1.55
OTO,2011,1.38
OTO,2012,1.4
OTO,2013,1.42
OTO,2014,1.37
OTO,2015,1.3
OTO,2016,1.25
OTO,2017,1.17
OTO,2018,1.12
LVA,2004,0.48
LVA,2005,0.51
LVA,2006,0.51
LVA,2007,0.43
LVA,2008,0.45
LVA,2009,1.32
LVA,2010,1.25
LVA,2011,0.69
LVA,2012,0.49
LVA,2013,0.55
LVA,2014,0.55
LVA,2015,0.55
LVA,2016,0.63
LVA,2017,0.59
LVA,2018,0.58
LTU,2004,0.3
LTU,2005,0.34
LTU,2006,0.39
LTU,2007,0.41
LTU,2008,0.39
LTU,2009,0.9
LTU,2010,0.78
LTU,2011,0.55
LTU,2012,0.47
LTU,2013,0.46
LTU,2014,0.43
LTU,2015,0.53
LTU,2016,0.51
LTU,2017,0.54
LTU,2018,0.66
