"COUNTRY","Country","AGE","Age","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","SEX","Sex","INTENSITY","Intensity","YEAR","Year","Value","Flag Codes","Flags"
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"z","Not applicable"
"ITA","Italy","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"z","Not applicable"
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",100,,
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",100,,
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",100,,
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",100,,
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",100,,
"LUX","Luxembourg","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",100,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",23.289,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",22.67,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",22.132,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",21.383,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",21.896,,
"LUX","Luxembourg","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",22.044,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",73.44,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",90.824,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",100,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",100,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",100,,
"HUN","Hungary","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",100,,
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"z","Not applicable"
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"z","Not applicable"
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"z","Not applicable"
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"z","Not applicable"
"LTU","Lithuania","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"z","Not applicable"
"DNK","Denmark","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"z","Not applicable"
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",70.109,,
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",65.394,,
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",64.797,,
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",66.076,,
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",64.909,,
"FIN","Finland","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",62.265,,
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"M","Missing value; data cannot exist"
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"M","Missing value; data cannot exist"
"GRC","Greece","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",1.737,,
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"M","Missing value; data cannot exist"
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"M","Missing value; data cannot exist"
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"M","Missing value; data cannot exist"
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"M","Missing value; data cannot exist"
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"M","Missing value; data cannot exist"
"IDN","Indonesia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"M","Missing value; data cannot exist"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"z","Not applicable"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"z","Not applicable"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"z","Not applicable"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"z","Not applicable"
"KOR","Korea","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"z","Not applicable"
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",0.668,,
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",1.088,,
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",1.362,,
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",2.207,,
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",5.085,,
"EST","Estonia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",6.48,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",15.304,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",14.495,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",13.557,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",12.898,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",13.138,,
"FIN","Finland","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",14.114,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",27.238,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",25.793,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",24.691,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",24.175,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",24.096,,
"FRA","France","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",24.578,,
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"z","Not applicable"
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"z","Not applicable"
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"z","Not applicable"
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"z","Not applicable"
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"z","Not applicable"
"SVN","Slovenia","T","Total: All age groups","L3_C5_SW","Upper secondary school and work-based vocational education (ISCED 2011 level 3 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"z","Not applicable"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"M","Missing value; data cannot exist"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"M","Missing value; data cannot exist"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"M","Missing value; data cannot exist"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2016","2016",,"M","Missing value; data cannot exist"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2017","2017",,"M","Missing value; data cannot exist"
"USA","United States","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2018","2018",,"M","Missing value; data cannot exist"
"NZL","New Zealand","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2013","2013",,"x","Data included in another category"
"NZL","New Zealand","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2014","2014",,"x","Data included in another category"
"NZL","New Zealand","T","Total: All age groups","L4_C5_SW","Post-secondary non-tertiary school and work-based vocational education (ISCED 2011 level 4 programme 5_SW)","ENRL_SHARE_VET_CSW","Share of VET students enrolled in combined school- and work-based programmes","T","Total","T","Full- and part-time","2015","2015",,"x","Data included in another category"
